canonical_tensor_name,canonical_dtype,canonical_shape,canonical_parameter_count,canonical_payload_bytes,subsystem,component,layer_id,expert_id,initial_text_scope,mapping_status,gguf_tensor_names,gguf_parameter_count,gguf_packed_bytes_allocated,mapping_rule,evidence_ids,confidence,notes
model.language_model.layers.0.linear_attn.conv1d.weight,BF16,10240x1x4,40960,81920,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.ssm_conv1d.weight,40960,163840,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter removes the singleton convolution dimension
model.language_model.layers.0.linear_attn.dt_bias,BF16,48,48,96,text,gdn,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ssm_dt.bias,48,192,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.linear_attn.in_proj_a.weight,BF16,48x2560,122880,245760,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.ssm_alpha.weight,122880,491520,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.0.linear_attn.in_proj_b.weight,BF16,48x2560,122880,245760,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.ssm_beta.weight,122880,491520,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.0.linear_attn.in_proj_qkv.weight,BF16,10240x2560,26214400,52428800,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.attn_qkv.weight,26214400,27852800,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.0.linear_attn.in_proj_z.weight,BF16,6144x2560,15728640,31457280,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.attn_gate.weight,15728640,16711680,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.0.linear_attn.norm.weight,BF16,128,128,256,text,gdn,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ssm_norm.weight,128,512,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.linear_attn.out_proj.weight,BF16,2560x6144,15728640,31457280,text,gdn,0,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.0.ssm_out.weight,15728640,16711680,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.0.mlp.experts.down_proj,BF16,512x2560x640,838860800,1677721600,text,routed_experts,0,STACKED_0_511,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ffn_down_exps.weight,838860800,629145600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp.experts.gate_up_proj,BF16,512x1280x2560,1677721600,3355443200,text,routed_experts,0,STACKED_0_511,REQUIRED_INITIAL_TEXT,SPLIT_IN_GGUF,blk.0.ffn_gate_exps.weight;blk.0.ffn_up_exps.weight,1677721600,943718400,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004,PROVEN_CONVERTER,Canonical projection is split along the converter-defined projection dimension
model.language_model.layers.0.mlp.gate.weight,BF16,512x2560,1310720,2621440,text,router,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ffn_gate_inp.weight,1310720,5242880,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp.shared_expert.down_proj.weight,BF16,2560x640,1638400,3276800,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ffn_down_shexp.weight,1638400,1740800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp.shared_expert.gate_proj.weight,BF16,640x2560,1638400,3276800,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ffn_gate_shexp.weight,1638400,1740800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp.shared_expert.up_proj.weight,BF16,640x2560,1638400,3276800,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ffn_up_shexp.weight,1638400,1740800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp.shared_expert_gate.weight,BF16,1x2560,2560,5120,text,shared_expert,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.ffn_gate_inp_shexp.weight,2560,10240,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp_hyper_connection.block_inject_weight.weight,BF16,4x10240,40960,81920,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_ffn_inject.weight,40960,163840,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp_hyper_connection.hc_norm.weight,BF16,10240,10240,20480,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_ffn_norm.weight,10240,40960,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp_hyper_connection.input_mix_weight_down.weight,BF16,320x10240,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_ffn_down.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.0.mlp_hyper_connection.input_mix_weight_up.weight,BF16,10240x320,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.0.hc_ffn_up.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.attn_hyper_connection.block_inject_weight.weight,BF16,4x10240,40960,81920,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_attn_inject.weight,40960,163840,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.attn_hyper_connection.hc_norm.weight,BF16,10240,10240,20480,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_attn_norm.weight,10240,40960,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.attn_hyper_connection.input_mix_weight_down.weight,BF16,320x10240,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_attn_down.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.attn_hyper_connection.input_mix_weight_up.weight,BF16,10240x320,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_attn_up.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.linear_attn.A_log,BF16,48,48,96,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ssm_a,48,192,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter stores -exp(A_log) in the one-to-one GGUF tensor
model.language_model.layers.1.linear_attn.conv1d.weight,BF16,10240x1x4,40960,81920,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ssm_conv1d.weight,40960,163840,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter removes the singleton convolution dimension
model.language_model.layers.1.linear_attn.dt_bias,BF16,48,48,96,text,gdn,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ssm_dt.bias,48,192,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.linear_attn.in_proj_a.weight,BF16,48x2560,122880,245760,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ssm_alpha.weight,122880,491520,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.1.linear_attn.in_proj_b.weight,BF16,48x2560,122880,245760,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ssm_beta.weight,122880,491520,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.1.linear_attn.in_proj_qkv.weight,BF16,10240x2560,26214400,52428800,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.attn_qkv.weight,26214400,27852800,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.1.linear_attn.in_proj_z.weight,BF16,6144x2560,15728640,31457280,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.attn_gate.weight,15728640,16711680,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.1.linear_attn.norm.weight,BF16,128,128,256,text,gdn,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ssm_norm.weight,128,512,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.linear_attn.out_proj.weight,BF16,2560x6144,15728640,31457280,text,gdn,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ssm_out.weight,15728640,16711680,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter reorders grouped GDN value-head rows or columns to tiled GGML order
model.language_model.layers.1.mlp.experts.down_proj,BF16,512x2560x640,838860800,1677721600,text,routed_experts,1,STACKED_0_511,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ffn_down_exps.weight,838860800,629145600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp.experts.gate_up_proj,BF16,512x1280x2560,1677721600,3355443200,text,routed_experts,1,STACKED_0_511,REQUIRED_INITIAL_TEXT,SPLIT_IN_GGUF,blk.1.ffn_gate_exps.weight;blk.1.ffn_up_exps.weight,1677721600,943718400,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004,PROVEN_CONVERTER,Canonical projection is split along the converter-defined projection dimension
model.language_model.layers.1.mlp.gate.weight,BF16,512x2560,1310720,2621440,text,router,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ffn_gate_inp.weight,1310720,5242880,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp.shared_expert.down_proj.weight,BF16,2560x640,1638400,3276800,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ffn_down_shexp.weight,1638400,1740800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp.shared_expert.gate_proj.weight,BF16,640x2560,1638400,3276800,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ffn_gate_shexp.weight,1638400,1740800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp.shared_expert.up_proj.weight,BF16,640x2560,1638400,3276800,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ffn_up_shexp.weight,1638400,1740800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp.shared_expert_gate.weight,BF16,1x2560,2560,5120,text,shared_expert,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ffn_gate_inp_shexp.weight,2560,10240,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp_hyper_connection.block_inject_weight.weight,BF16,4x10240,40960,81920,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_ffn_inject.weight,40960,163840,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp_hyper_connection.hc_norm.weight,BF16,10240,10240,20480,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_ffn_norm.weight,10240,40960,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp_hyper_connection.input_mix_weight_down.weight,BF16,320x10240,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_ffn_down.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.mlp_hyper_connection.input_mix_weight_up.weight,BF16,10240x320,3276800,6553600,text,gated_residual,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.hc_ffn_up.weight,3276800,3481600,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.ple.conv1d.weight,BF16,10240x1x4,40960,81920,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ple_conv1d.weight,40960,163840,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter removes the singleton convolution dimension
model.language_model.layers.1.ple.key_proj.weight,BF16,10240x2560,26214400,52428800,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,RENAMED_ONE_TO_ONE,blk.1.ple_key.weight,26214400,27852800,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002,PROVEN_CONVERTER,GGUF dimensions use reversed physical dimension order
model.language_model.layers.1.ple.norm_conv.weight,BF16,10240,10240,20480,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ple_norm_conv.weight,10240,40960,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter changes zero-centered norm gamma to stored gamma by adding one
model.language_model.layers.1.ple.norm_key.weight,BF16,10240,10240,20480,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ple_norm_key.weight,10240,40960,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter changes zero-centered norm gamma to stored gamma by adding one
model.language_model.layers.1.ple.norm_query.weight,BF16,10240,10240,20480,ple_ngram,ple_dense,1,,REQUIRED_INITIAL_TEXT,TRANSFORMED_LAYOUT,blk.1.ple_norm_query.weight,10240,40960,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Converter changes zero-centered norm gamma to stored gamma by adding one
model.language_model.layers.1.ple.ple_embedding.layer_multipliers,I64,3,3,24,ple_ngram,ple_address_metadata,1,,REQUIRED_INITIAL_TEXT,OMITTED_FORMAT_DERIVED,,0,0,KQ-GGUF-RULE-PLE-KV-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,Exact int64 PLE address constants are represented as GGUF metadata
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_0.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_1.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_10.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_100.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_101.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_102.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_103.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_104.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_105.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_106.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
model.language_model.layers.1.ple.ple_embedding.ngram_embedding.shard_107.weight,BF16,2500012x160,400001920,800003840,ple_ngram,ple_embedding_table,1,,REQUIRED_INITIAL_TEXT,FUSED_INTO_GGUF,per_layer_token_embd.weight,51200245760,225001080,KQ-GGUF-RULE-PLE-FUSION-v1,KQ-GGUF-EVIDENCE-003,PROVEN_CONVERTER,One of 128 canonical PLE table shards concatenated in numeric shard order
